Title,Status,Rating,Seasons,Page
I Am Not Okay with This,Watched,N/A,N/A,9
The Third Day,Watched,N/A,N/A,9
Normal People,Watched,N/A,N/A,9
Leila,Watched,N/A,N/A,9
Primal,Watched,N/A,N/A,9
Kota Factory,Watched,N/A,N/A,9
Nine Perfect Strangers,Watched,N/A,N/A,9
Vinland Saga,Watched,N/A,N/A,9
The Pentaverate,Watched,N/A,N/A,9
The Falcon and the Winter Soldier,Watched,N/A,N/A,9
Hawkeye,Watched,N/A,N/A,9
How to Sell Drugs Online (Fast),Watched,N/A,N/A,9
Criminal Justice,Watched,N/A,N/A,9
Trailer Park Boys: The Animated Series,Watched,N/A,N/A,9
Servant,Watched,N/A,N/A,9
For All Mankind,Watched,N/A,N/A,10
Defending Jacob,Watched,N/A,N/A,10
Toy Boy,Watched,N/A,N/A,10
The Queen's Gambit,Watched,N/A,N/A,10
Delhi Crime,Watched,N/A,N/A,10
Made in Heaven,Watched,N/A,N/A,10
Ramy,Watched,N/A,N/A,10
Chernobyl,Watched,N/A,N/A,10
Formula 1: Drive to Survive,Watched,N/A,N/A,10
Dracula,Watched,N/A,N/A,10
"Love, Death & Robots",Watched,N/A,N/A,10
Your Honor,Watched,N/A,N/A,10
Locke & Key,Watched,N/A,N/A,10
Undone,Watched,N/A,N/A,10
Upload,Watched,N/A,N/A,10
Four More Shots Please!,Watched,N/A,N/A,10
Demon Slayer: Kimetsu no Yaiba,Watched,N/A,N/A,10
Space Force,Watched,N/A,N/A,10
Perry Mason,Watched,N/A,N/A,10
Conversations with a Killer: The Ted Bundy Tapes,Watched,N/A,N/A,10
Raised by Wolves,Watched,N/A,N/A,10
Shadow and Bone,Watched,N/A,N/A,10
Euphoria,Watched,N/A,N/A,10
The Other Two,Watched,N/A,N/A,10
WandaVision,Watched,N/A,N/A,11
Russian Doll,Watched,N/A,N/A,11
Loki,Watched,N/A,N/A,11
The Lord of the Rings: The Rings of Power,Watched,N/A,N/A,11
Close Enough,Watched,N/A,N/A,11
Cowboy Bebop,Watched,N/A,N/A,11
Mirzapur,Watched,N/A,N/A,11
The Plot Against America,Watched,N/A,N/A,11
Guillermo del Toro's Cabinet of Curiosities,Watched,N/A,N/A,11
What We Do in the Shadows,Watched,N/A,N/A,11
Patriot Act with Hasan Minhaj,Watched,N/A,N/A,11
Cursed,Watched,N/A,N/A,11
Spinning Out,Watched,N/A,N/A,11
The Mandalorian,Watched,N/A,N/A,11
Lovecraft Country,Watched,N/A,N/A,11
The Righteous Gemstones,Watched,N/A,N/A,11
Emily in Paris,Watched,N/A,N/A,11
Living with Yourself,Watched,N/A,N/A,11
Sex Education,Watched,N/A,N/A,11
When They See Us,Watched,N/A,N/A,11
Ratched,Watched,N/A,N/A,11
Messiah,Watched,N/A,N/A,11
Narcos: Mexico,Watched,N/A,N/A,11
Comicstaan,Watched,N/A,N/A,11
See,Watched,N/A,N/A,12
GHOUL,Watched,N/A,N/A,12
Little America,Watched,N/A,N/A,12
Bodyguard,Watched,N/A,N/A,12
Watchmen,Watched,N/A,N/A,12
Snowpiercer,Watched,N/A,N/A,12
Hunters,Watched,N/A,N/A,12
The Last Dance,Watched,N/A,N/A,12
Doom Patrol,Watched,N/A,N/A,12
After Life,Watched,N/A,N/A,12
Sacred Games,Watched,N/A,N/A,12
Chilling Adventures of Sabrina,Watched,N/A,N/A,12
You,Watched,N/A,N/A,12
Persona,Watched,N/A,N/A,12
The Rain,Watched,N/A,N/A,12
Elite,Watched,N/A,N/A,12
Breathe,Watched,N/A,N/A,12
TVF Bachelors,Watched,N/A,N/A,12
The Boys,Watched,N/A,N/A,12
FLAMES,Watched,N/A,N/A,12
Succession,Watched,N/A,N/A,12
Titans,Watched,N/A,N/A,12
Devilman Crybaby,Watched,N/A,N/A,12
The Umbrella Academy,Watched,N/A,N/A,12
The End of the F***ing World,Watched,N/A,N/A,13
Harley Quinn,Watched,N/A,N/A,13
Big Mouth,Watched,N/A,N/A,13
Yellowstone,Watched,N/A,N/A,13
Warrior,Watched,N/A,N/A,13
Maniac,Watched,N/A,N/A,13
Tom Clancy's Jack Ryan,Watched,N/A,N/A,13
American Vandal,Watched,N/A,N/A,13
Barry,Watched,N/A,N/A,13
The Haunting of Hill House,Watched,N/A,N/A,13
Patrick Melrose,Watched,N/A,N/A,13
Inside Edge,Watched,N/A,N/A,13
Sick Note,Watched,N/A,N/A,13
Escape at Dannemora,Watched,N/A,N/A,13
The Wheel of Time,Watched,N/A,N/A,13
The Witcher,Watched,N/A,N/A,13
A.P. Bio,Watched,N/A,N/A,13
Young Sheldon,Watched,N/A,N/A,13
Blood Drive,Watched,N/A,N/A,13
Black Lightning,Watched,N/A,N/A,13
Atypical,Watched,N/A,N/A,13
Money Heist,Watched,N/A,N/A,13
Boruto: Naruto Next Generations,Watched,N/A,N/A,13
The Marvelous Mrs. Maisel,Watched,N/A,N/A,13
Dark,Watched,N/A,N/A,14
Sharp Objects,Watched,N/A,N/A,14
Too Old to Die Young,Watched,N/A,N/A,14
Ozark,Watched,N/A,N/A,14
Humorously Yours,Watched,N/A,N/A,14
The Bold Type,Watched,N/A,N/A,14
Workin' Moms,Watched,N/A,N/A,14
The Handmaid's Tale,Watched,N/A,N/A,14
The OA,Watched,N/A,N/A,14
Riverdale,Watched,N/A,N/A,14
His Dark Materials,Watched,N/A,N/A,14
Altered Carbon,Watched,N/A,N/A,14
Dirk Gently's Holistic Detective Agency,Watched,N/A,N/A,14
MINDHUNTER,Watched,N/A,N/A,14
Legion,Watched,N/A,N/A,14
The Great Indoors,Watched,N/A,N/A,14
Man with a Plan,Watched,N/A,N/A,14
Fleabag,Watched,N/A,N/A,14
Quarry,Watched,N/A,N/A,14
13 Reasons Why,Watched,N/A,N/A,14
Stranger Things,Watched,N/A,N/A,14
The Good Place,Watched,N/A,N/A,14
Big Little Lies,Watched,N/A,N/A,14
The Night Of,Watched,N/A,N/A,14
The Detour,Watched,N/A,N/A,15
My Hero Academia,Watched,N/A,N/A,15
Taboo,Watched,N/A,N/A,15
Atlanta,Watched,N/A,N/A,15
Crashing,Watched,N/A,N/A,15
ERASED,Watched,N/A,N/A,15
Whose Line Is It Anyway?,Watched,N/A,N/A,15
Baskets,Watched,N/A,N/A,15
American Crime Story,Watched,N/A,N/A,15
11.22.63,Watched,N/A,N/A,15
Master of None,Watched,N/A,N/A,15
Call My Agent!,Watched,N/A,N/A,15
One-Punch Man,Watched,N/A,N/A,15
The Expanse,Watched,N/A,N/A,15
F is for Family,Watched,N/A,N/A,15
Narcos,Watched,N/A,N/A,15
The Last Kingdom,Watched,N/A,N/A,15
Westworld,Watched,N/A,N/A,15
TVF Pitchers,Watched,N/A,N/A,15
Lucifer,Watched,N/A,N/A,15
Quantico,Watched,N/A,N/A,15
Ballers,Watched,N/A,N/A,15
Supergirl,Watched,N/A,N/A,15
Superstore,Watched,N/A,N/A,16
DC's Legends of Tomorrow,Watched,N/A,N/A,16
Mr. Robot,Watched,N/A,N/A,16
Marvel's The Defenders,Watched,N/A,N/A,16
Impastor,Watched,N/A,N/A,16
Marvel's Iron Fist,Watched,N/A,N/A,16
Marvel's Luke Cage,Watched,N/A,N/A,16
Assassination Classroom,Watched,N/A,N/A,16
The Man in the High Castle,Watched,N/A,N/A,16
Angie Tribeca,Watched,N/A,N/A,16
Marvel's Daredevil,Watched,N/A,N/A,16
The Night Manager,Watched,N/A,N/A,16
Sense8,Watched,N/A,N/A,16
Parasyte -the maxim-,Watched,N/A,N/A,16
Terror in Resonance,Watched,N/A,N/A,16
BoJack Horseman,Watched,N/A,N/A,16
iZombie,Watched,N/A,N/A,16
Ping Pong the Animation,Watched,N/A,N/A,16
The Flash,Watched,N/A,N/A,16
Rick and Morty,Watched,N/A,N/A,16
Fargo,Watched,N/A,N/A,16
Peaky Blinders,Watched,N/A,N/A,16
Silicon Valley,Watched,N/A,N/A,16
Better Call Saul,Watched,N/A,N/A,17
Impractical Jokers,Watched,N/A,N/A,17
Nathan for You,Watched,N/A,N/A,17
Zach Stone Is Gonna Be Famous,Watched,N/A,N/A,17
The Leftovers,Watched,N/A,N/A,17
Mom,Watched,N/A,N/A,17
Brooklyn Nine-Nine,Watched,N/A,N/A,17
The 100,Watched,N/A,N/A,17
The Blacklist,Watched,N/A,N/A,17
Bates Motel,Watched,N/A,N/A,17
True Detective,Watched,N/A,N/A,17
The Americans,Watched,N/A,N/A,17
Utopia,Watched,N/A,N/A,17
Hunter x Hunter,Watched,N/A,N/A,17
Naruto,Watched,N/A,N/A,17
Vikings,Watched,N/A,N/A,17
Danger 5,Watched,N/A,N/A,17
Dekalog,Watched,N/A,N/A,17
Black Mirror,Watched,N/A,N/A,17
Banshee,Watched,N/A,N/A,17
Hannibal,Watched,N/A,N/A,17
Awkward.,Watched,N/A,N/A,17
2 Broke Girls,Watched,N/A,N/A,17
Marvel's Jessica Jones,Watched,N/A,N/A,17
Suits,Watched,N/A,N/A,18
The Tatami Galaxy,Watched,N/A,N/A,18
Penn & Teller: Fool Us,Watched,N/A,N/A,18
Shameless,Watched,N/A,N/A,18
Louie,Watched,N/A,N/A,18
Outsourced,Watched,N/A,N/A,18
Fullmetal Alchemist: Brotherhood,Watched,N/A,N/A,18
Naruto Shippūden,Watched,N/A,N/A,18
Code Geass: Lelouch of the Rebellion,Watched,N/A,N/A,18
Ben 10: Ultimate Alien,Watched,N/A,N/A,18
Salad Fingers,Watched,N/A,N/A,18
Monster,Watched,N/A,N/A,18
Shark Tank,Watched,N/A,N/A,18
Sherlock,Watched,N/A,N/A,18
Community,Watched,N/A,N/A,18
Party Down,Watched,N/A,N/A,18
Mononoke,Watched,N/A,N/A,18
Death Note,Watched,N/A,N/A,18
"Yes, Prime Minister",Watched,N/A,N/A,18
True Blood,Watched,N/A,N/A,18
Archer,Watched,N/A,N/A,18
Paranoia Agent,Watched,N/A,N/A,18
Parks and Recreation,Watched,N/A,N/A,18
The Premise,Watched,N/A,N/A,19
Ben 10: Alien Force,Watched,N/A,N/A,19
The Life & Times of Tim,Watched,N/A,N/A,19
Pushing Daisies,Watched,N/A,N/A,19
Ben 10,Watched,N/A,N/A,19
Raw,Watched,N/A,N/A,19
Ugly Betty,Watched,N/A,N/A,19
Arrested Development,Watched,N/A,N/A,19
Yes Minister,Watched,N/A,N/A,19
Curb Your Enthusiasm,Watched,N/A,N/A,19
Trailer Park Boys,Watched,N/A,N/A,19
Oz,Watched,N/A,N/A,19
Superjail!,Watched,N/A,N/A,19
Veep,Watched,N/A,N/A,19
Flight of the Conchords,Watched,N/A,N/A,19
Two and a Half Men,Watched,N/A,N/A,19
The IT Crowd,Watched,N/A,N/A,19
Freaks and Geeks,Watched,N/A,N/A,19
Prison Break,Watched,N/A,N/A,19
Jam,Watched,N/A,N/A,19
South Park,Watched,N/A,N/A,19
Twin Peaks,Watched,N/A,N/A,19
The Fresh Prince of Bel-Air,Watched,N/A,N/A,20
Friends,Watched,N/A,N/A,20
Saturday Night Live,Watched,N/A,N/A,20
Joey,Watched,N/A,N/A,20
The Wire,Watched,N/A,N/A,20
Firefly,Watched,N/A,N/A,20
Family Guy,Watched,N/A,N/A,20
Attack on Titan,Watched,N/A,N/A,20
Luther,Watched,N/A,N/A,20
House of Cards,Watched,N/A,N/A,20
Modern Family,Watched,N/A,N/A,20
The Big Bang Theory,Watched,N/A,N/A,20
Arrow,Watched,N/A,N/A,20
Person of Interest,Watched,N/A,N/A,20
Sons of Anarchy,Watched,N/A,N/A,20
Dexter,Watched,N/A,N/A,20
Seinfeld,Watched,N/A,N/A,20
Game of Thrones,Watched,N/A,N/A,20
The Sopranos,Watched,N/A,N/A,20
Breaking Bad,Watched,N/A,N/A,20
Six Feet Under,Watched,N/A,N/A,20
Mad Men,Watched,N/A,N/A,20
Serial Experiments Lain,Watched,N/A,N/A,20
Neon Genesis Evangelion,Watched,N/A,N/A,20
Robot Chicken,Watched,N/A,N/A,21
Futurama,Watched,N/A,N/A,21
The Simpsons,Watched,N/A,N/A,21
Avatar: The Last Airbender,Watched,N/A,N/A,21
